PanjivaRecordID,HSCode,ShipmentDestination,ShipperPanjivaID,TransportMethod
4432892,18,24,43,1
4449340,18,24,43,0
4356348,42,4,29,1
4356412,40,4,17,1
4361788,41,7,61,1
4377660,28,4,13,1
4381116,40,4,29,1
4387068,24,2,22,1
4393212,18,24,43,1
4406780,9,4,36,1
4416316,40,4,29,1
4416380,42,0,62,1
4421820,41,24,88,1
4421884,56,0,2,1
4398908,23,9,41,2
4433660,9,4,36,1
4399228,3,9,41,2
4439228,40,4,29,1
4443708,40,4,86,1
4356476,30,3,87,2
4369020,30,3,64,2
4433852,30,3,64,2
4462012,30,3,72,2
4462204,25,3,38,2
4357244,39,24,59,1
4372412,23,24,53,1
4383612,0,25,32,2
4444732,39,24,59,1
4375292,3,9,89,1
4404668,14,24,33,1
4420156,33,23,3,1
4420412,11,14,41,1
4420732,55,24,83,1
4420860,55,24,83,1
4448636,30,24,28,1
4400636,20,3,38,2
4421565,48,22,23,2
4432893,18,24,43,1
4449277,48,9,41,2
4356349,42,4,29,1
4356413,40,4,17,1
4361789,41,7,61,1
4361277,48,22,23,2
4361661,23,24,65,1
4366973,45,22,23,2
4381117,40,4,29,1
4387069,24,2,22,1
4399549,40,4,16,1
4393213,18,24,43,1
4406781,9,4,36,1
4416317,40,4,29,1
4393469,23,24,65,1
4416381,42,0,62,1
4421821,41,24,88,1
4421885,56,0,2,1
4398909,45,9,41,2
4433661,9,4,36,1
4439229,40,4,29,1
4443709,40,4,86,1
4356477,30,3,87,2
4369021,41,3,64,2
4378173,23,12,5,2
4411901,41,3,64,2
4433853,45,3,64,2
4434109,48,3,64,2
4455677,30,3,64,2
4461757,30,3,64,2
4462205,2,3,38,2
4357245,39,24,59,1
4372285,20,22,0,2
4444733,39,24,59,1
4360125,35,24,41,1
4420157,30,23,3,1
4420733,55,24,83,1
4425405,45,9,89,1
4448637,30,24,28,1
4453949,21,24,8,1
4432894,18,24,43,1
4438782,18,24,43,0
4356350,42,4,29,1
4356414,40,4,17,1
4361790,23,7,61,1
4361278,48,22,23,2
4366974,45,22,23,2
4381118,40,4,29,1
4387070,24,2,22,1
4399550,40,4,16,1
4393214,18,24,43,1
4406782,9,4,36,1
4416318,40,4,29,1
4416382,42,0,62,1
4421822,41,24,88,1
4421886,56,0,2,1
4398910,30,9,41,2
4433662,9,4,36,1
4439230,40,4,29,1
4443710,40,4,86,1
4356478,3,3,87,2
4411902,41,3,64,2
4434110,30,3,64,2
4455678,45,3,64,2
4359038,55,24,41,0
4463806,48,22,5,2
4357246,39,24,59,1
4444734,39,24,59,1
4460158,23,3,9,2
4359998,32,23,41,1
4392446,20,1,20,1
4420158,54,23,3,1
4448638,30,24,28,1
4453950,21,24,8,1
4472574,23,26,71,1
4398206,48,9,39,2
4426687,36,19,23,1
4432895,18,24,43,1
4438783,18,24,43,0
4356415,40,4,17,1
4361791,53,7,61,1
4366975,30,22,23,2
4381119,40,4,29,1
4387071,24,2,22,1
4399487,40,4,66,1
4416383,42,0,62,1
4399551,40,4,16,1
4393215,18,24,43,1
4406783,9,4,36,1
4416319,40,4,29,1
4421823,41,24,88,1
4421887,56,0,2,1
4399103,55,9,41,2
4433663,9,4,36,1
4439231,40,4,29,1
4443711,40,4,86,1
4356479,3,3,87,2
4369023,41,3,64,2
4411903,45,3,64,2
4434111,45,3,64,2
4461759,23,3,64,2
4463807,23,22,5,2
4357247,39,24,59,1
4357759,14,3,33,2
4401215,15,24,73,0
4424895,36,3,76,2
4444735,39,24,59,1
4460159,23,3,9,2
4460223,20,3,9,2
4375295,45,9,89,1
4392447,48,1,20,1
4420799,55,24,83,1
4438207,30,20,85,1
4448639,30,24,28,1
4472575,23,26,71,1
4432891,18,24,43,1
4449339,18,24,43,0
4356411,40,4,86,1
4361787,41,7,61,1
4377659,28,4,13,1
4381115,40,4,29,1
4387067,24,2,22,1
4406651,40,4,26,1
4393211,18,24,43,1
4406779,9,4,36,1
4416315,40,4,29,1
4421819,41,24,88,1
4421883,56,0,2,1
4398907,30,9,41,2
4433659,9,4,36,1
4399227,3,9,41,2
4439227,40,4,29,1
4443707,40,4,86,1
4356475,30,3,87,2
4368891,45,3,64,2
4378171,23,12,5,2
4461755,41,3,64,2
4462203,20,3,38,2
4357243,39,24,59,1
4407867,14,3,67,2
4419899,8,9,51,0
4444731,39,24,59,1
4359995,30,23,41,1
4404667,14,24,33,1
4420155,30,23,3,1
4420411,35,14,41,1
4420731,55,24,83,1
4448635,30,24,28,1
4366331,11,9,40,2
4400635,23,3,38,2
4421561,23,22,23,2
4432889,18,24,43,1
4449337,18,24,43,0
4454649,48,12,41,2
4356409,40,4,86,1
4361785,3,7,61,1
4366841,23,24,65,1
4367545,36,19,23,1
4377657,28,4,26,1
4381113,40,4,29,1
4387065,24,2,22,1
4406649,40,4,26,1
4393209,18,24,43,1
4406777,9,4,36,1
4416313,40,4,29,1
4393529,23,24,65,1
4421817,41,24,88,1
4421881,56,0,2,1
4433657,9,29,36,1
4439225,40,4,29,1
4443705,40,4,49,1
4356473,30,3,87,2
4399673,30,25,9,2
4433849,30,3,64,2
4464057,44,3,64,2
4358009,14,9,67,2
4372281,20,22,0,2
4407865,14,3,67,2
4418361,39,24,59,0
4459001,8,3,76,2
4392633,3,16,41,1
4397305,41,24,80,1
4404665,14,24,33,1
4420153,12,23,3,1
4420857,55,24,83,1
4430201,14,1,46,1
4438201,30,20,85,1
4448633,30,24,28,1
4461113,28,24,56,1
4376697,45,9,1,2
4400633,20,3,38,2
4449265,45,9,41,2
4356273,42,24,88,1
4356337,13,0,68,1
4356401,40,10,66,1
4361777,45,7,61,1
4361393,18,24,43,1
4380849,9,4,36,1
4387057,40,4,84,1
4393585,13,0,63,1
4393009,30,22,23,2
4393201,18,24,43,1
4406769,9,4,36,1
4416369,40,4,29,1
4416433,9,4,70,1
4421809,42,24,88,1
4421873,56,0,2,1
4433649,9,4,36,1
4433777,9,4,29,1
4439217,40,4,29,1
4421233,23,24,65,1
4368177,14,25,31,2
4381425,45,3,12,2
4444081,22,22,25,2
4455665,45,3,64,2
4358641,36,24,73,0
4461745,17,3,64,2
4462065,2,3,38,2
4462257,30,3,64,2
4464049,30,3,64,2
4447537,14,3,67,2
4457841,1,21,69,1
4458353,34,24,37,0
4360049,4,23,41,1
4375025,14,24,33,1
4420721,55,24,83,1
4425393,55,9,89,1
4448625,30,24,28,1
4453937,21,24,8,1
4376817,14,9,48,2
4421548,48,22,23,2
4421612,23,24,65,1
4449708,23,24,65,1
4454636,45,12,41,2
4356268,42,24,88,1
4356396,40,4,47,1
4361836,40,4,16,1
4366956,10,22,23,2
4381100,40,4,29,1
4393580,13,0,63,1
4393196,18,24,43,1
4406764,9,4,36,1
4416364,40,4,29,1
4416428,9,4,70,1
4421804,41,24,88,1
4433644,9,4,36,1
4433708,9,4,36,1
