PanjivaRecordID,HSCode,ShipmentDestination,ShipperPanjivaID,TransportMethod
4432892,2,24,43,2
4449340,2,24,43,1
4356348,8,8,29,2
4356412,19,8,17,2
4361788,51,9,61,2
4377660,15,8,13,2
4381116,19,8,29,2
4387068,9,28,22,2
4393212,2,24,43,2
4406780,20,8,36,2
4416316,19,8,29,2
4416380,8,10,62,2
4421820,51,24,88,2
4421884,21,10,2,2
4398908,25,26,41,0
4433660,20,8,36,2
4399228,33,26,41,0
4439228,19,8,29,2
4443708,19,8,86,2
4356476,50,22,87,0
4369020,50,22,64,0
4433852,50,22,64,0
4462012,50,22,72,0
4462204,37,22,38,0
4357244,23,24,59,2
4372412,25,24,53,2
4383612,54,27,32,0
4444732,23,24,59,2
4375292,33,26,89,2
4404668,46,24,33,2
4420156,36,5,3,2
4420412,24,23,41,2
4420732,49,24,83,2
4420860,49,24,83,2
4448636,50,24,28,2
4400636,47,22,38,0
4421565,43,6,23,0
4432893,2,24,43,2
4449277,43,26,41,0
4356349,8,8,29,2
4356413,19,8,17,2
4361789,51,9,61,2
4361277,43,6,23,0
4361661,25,24,65,2
4366973,45,6,23,0
4381117,19,8,29,2
4387069,9,28,22,2
4399549,19,8,16,2
4393213,2,24,43,2
4406781,20,8,36,2
4416317,19,8,29,2
4393469,25,24,65,2
4416381,8,10,62,2
4421821,51,24,88,2
4421885,21,10,2,2
4398909,45,26,41,0
4433661,20,8,36,2
4439229,19,8,29,2
4443709,19,8,86,2
4356477,50,22,87,0
4369021,51,22,64,0
4378173,25,29,5,0
4411901,51,22,64,0
4433853,45,22,64,0
4434109,43,22,64,0
4455677,50,22,64,0
4461757,50,22,64,0
4462205,4,22,38,0
4357245,23,24,59,2
4372285,47,6,0,0
4444733,23,24,59,2
4360125,18,24,41,2
4420157,50,5,3,2
4420733,49,24,83,2
4425405,45,26,89,2
4448637,50,24,28,2
4453949,28,24,8,2
4432894,2,24,43,2
4438782,2,24,43,1
4356350,8,8,29,2
4356414,19,8,17,2
4361790,25,9,61,2
4361278,43,6,23,0
4366974,45,6,23,0
4381118,19,8,29,2
4387070,9,28,22,2
4399550,19,8,16,2
4393214,2,24,43,2
4406782,20,8,36,2
4416318,19,8,29,2
4416382,8,10,62,2
4421822,51,24,88,2
4421886,21,10,2,2
4398910,50,26,41,0
4433662,20,8,36,2
4439230,19,8,29,2
4443710,19,8,86,2
4356478,33,22,87,0
4411902,51,22,64,0
4434110,50,22,64,0
4455678,45,22,64,0
4359038,49,24,41,1
4463806,43,6,5,0
4357246,23,24,59,2
4444734,23,24,59,2
4460158,25,22,9,0
4359998,16,5,41,2
4392446,47,15,20,2
4420158,22,5,3,2
4448638,50,24,28,2
